crew_id,date,duty_start,duty_end,num_sectors,is_night_duty,is_early_start,duration_hours,rest_hours_before,consecutive_work_days
C001,2025-01-01,2025-01-01 02:00:00,2025-01-01 09:33:33.775201963,3,1,1,7.559382000545538,42.0,1
C001,2025-01-03,2025-01-03 15:15:00,2025-01-04 00:04:56.245120263,1,1,0,8.832290311184181,25.0,1
C001,2025-01-04,2025-01-04 01:00:00,2025-01-04 07:21:49.139763891,1,1,1,6.363649934414202,0.9177096886111111,2
C001,2025-01-05,2025-01-05 16:30:00,2025-01-05 23:39:53.699618851,3,0,0,7.164916560792168,33.136350065555554,3
C001,2025-01-07,2025-01-07 10:45:00,2025-01-07 18:16:47.452674247,4,0,0,7.529847965068651,26.0,1
C001,2025-01-08,2025-01-08 18:45:00,2025-01-09 00:56:42.557204241,1,1,0,6.195154778955839,24.470152034722226,2
C001,2025-01-09,2025-01-09 18:15:00,2025-01-10 00:17:52.435523978,4,1,0,6.047898756660643,17.304845220833332,3
C001,2025-01-10,2025-01-10 21:30:00,2025-01-11 04:59:07.910629201,3,1,0,7.48553073033381,21.202101243333335,4
C001,2025-01-11,2025-01-11 15:15:00,2025-01-12 00:16:17.204308574,2,1,0,9.02144564127061,10.264469269444445,5
C001,2025-01-13,2025-01-13 05:15:00,2025-01-13 14:21:01.912656400,2,0,1,9.100531293444458,59.0,1
C001,2025-01-14,2025-01-14 01:00:00,2025-01-14 07:23:31.076609417,2,1,1,6.391965724838291,10.64946870638889,2
C001,2025-01-15,2025-01-15 09:45:00,2025-01-15 17:54:31.566706402,2,0,0,8.158768529556319,26.358034274999998,3
C001,2025-01-16,2025-01-16 16:00:00,2025-01-16 23:11:06.338482138,1,0,0,7.18509402281633,22.091231470277776,4
C001,2025-01-18,2025-01-18 15:30:00,2025-01-18 21:31:19.518486579,3,0,0,6.02208846849441,40.0,1
C001,2025-01-19,2025-01-19 20:30:00,2025-01-20 02:43:19.682238728,2,1,0,6.222133955202271,22.97791153138889,2
C001,2025-01-21,2025-01-21 09:30:00,2025-01-21 15:52:53.905677461,3,0,0,6.381640465961645,47.0,1
C001,2025-01-22,2025-01-22 13:00:00,2025-01-22 22:32:55.863493099,3,0,0,9.548850970305306,21.11835953388889,2
C001,2025-01-24,2025-01-24 19:15:00,2025-01-25 01:57:28.637133288,3,1,0,6.707954759246867,50.0,1
C001,2025-01-25,2025-01-25 10:30:00,2025-01-25 16:37:32.580273888,1,0,0,6.125716742746937,8.542045240555556,2
C001,2025-01-26,2025-01-26 12:00:00,2025-01-26 18:59:49.808099743,3,0,0,6.9971689165955,19.37428325722222,3
C001,2025-01-27,2025-01-27 06:15:00,2025-01-27 13:24:32.420921958,4,0,0,7.1590058116550725,11.252831083333334,4
C001,2025-01-28,2025-01-28 18:45:00,2025-01-29 01:03:59.338006166,4,1,0,6.316482779490812,29.340994188333333,5
C001,2025-01-30,2025-01-30 01:00:00,2025-01-30 07:14:39.033273844,3,1,1,6.2441759094013465,56.0,1
C001,2025-01-31,2025-01-31 16:00:00,2025-02-01 01:16:19.412629283,3,1,0,9.272059063689973,32.755824090555556,2
C001,2025-02-02,2025-02-02 12:15:00,2025-02-02 21:01:11.078873619,4,0,0,8.769744131561081,47.0,1
C001,2025-02-03,2025-02-03 15:00:00,2025-02-03 23:48:43.473008090,2,0,0,8.81207583558071,17.980255868333334,2
C001,2025-02-04,2025-02-04 01:30:00,2025-02-04 08:53:33.390764446,1,1,1,7.392608545679577,1.6879241641666667,3
C001,2025-02-06,2025-02-06 09:15:00,2025-02-06 17:15:38.577934495,3,0,0,8.010716092915446,60.0,1
C001,2025-02-07,2025-02-07 09:15:00,2025-02-07 17:22:25.457999766,4,0,0,8.123738333268545,15.989283906944443,2
C001,2025-02-08,2025-02-08 14:30:00,2025-02-08 23:32:47.322460733,1,0,0,9.04647846131487,21.126261666666668,3
C001,2025-02-09,2025-02-09 11:15:00,2025-02-09 21:11:01.293228885,3,0,0,9.933692563579372,11.70352153861111,4
